"survey_person","Gender","Age","Education","Income","CSPgroup","class_nat","survey_id","journey_duration2","journey_duration3","main_vehicule","Perso_relation_nature"
"672984_135","Woman",3,4,6,"plus",3,672984,30,2,"indiv_motor",5
"672984_367","Woman",4,1,2,"retired",3,672984,35,3,"indiv_motor",5
"672984_424","Woman",4,4,6,"plus",3,672984,65,5,"indiv_motor",6
"672984_146","Woman",3,2,1,"minus",3,672984,30,2,"indiv_no_motor",5
"355435_650","Woman",4,2,8,"retired",3,355435,70,5,"indiv_no_motor",6
"355435_20","Man",3,4,10,"plus",3,355435,75,5,"indiv_motor",5
"672984_501","Woman",2,2,7,"inactive",3,672984,5,1,"indiv_motor",3
"672984_455","Woman",3,2,6,"plus",3,672984,NA,6,"indiv_no_motor",7
"355435_850","Man",2,4,10,"plus",2,355435,40,3,"indiv_motor",1
"355435_1001","Man",4,1,6,"retired",2,355435,30,2,"indiv_no_motor",5
"355435_980","Woman",4,2,5,"retired",2,355435,40,3,"indiv_no_motor",6
"355435_1214","Woman",4,4,4,"retired",2,355435,45,4,"indiv_motor",2
"355435_1314","Man",4,2,8,"retired",2,355435,45,4,"indiv_no_motor",4
"355435_966","Man",4,4,6,"retired",2,355435,70,5,"indiv_no_motor",4
"355435_1205","Woman",4,4,5,"retired",2,355435,35,3,"indiv_no_motor",4
"355435_1029","Man",4,1,2,"retired",2,355435,40,3,"indiv_motor",6
"355435_1329","Woman",4,1,2,"retired",2,355435,30,2,"indiv_no_motor",5
"672984_362","Woman",3,1,2,"minus",3,672984,56,4,"indiv_no_motor",5
"672984_1088","Man",2,2,6,"minus",3,672984,15,1,"indiv_no_motor",4
"672984_1813","Man",4,1,4,"retired",3,672984,75,5,"indiv_motor",7
"672984_406","Woman",3,2,4,"minus",3,672984,75,5,"indiv_motor",4
"672984_97","Woman",2,2,5,"inactive",3,672984,143,6,"indiv_no_motor",4
"672984_738","Woman",2,4,9,"plus",3,672984,40,3,"indiv_motor",4
"672984_836","Woman",1,4,6,"minus",3,672984,45,4,"commun",4
"672984_73","Woman",4,1,4,"minus",3,672984,30,2,"indiv_motor",3
"355435_624","Man",4,1,7,"retired",3,355435,180,6,"indiv_motor",5
"672984_657","Man",3,4,7,"plus",3,672984,25,2,"indiv_motor",4
"672984_1061","Woman",3,1,1,"inactive",3,672984,20,1,"indiv_motor",4
"355435_604","Woman",3,1,5,"minus",3,355435,40,3,"indiv_motor",5
"672984_743","Woman",3,2,3,"minus",3,672984,40,3,"indiv_motor",5
